year,country,who_region,cumulative_cases_2022,health_ppp
2022,Afghanistan,EMRO,207214,65.80603
2022,Albania,EURO,332553,
2022,Algeria,AFRO,271179,248.20587
2022,Andorra,EURO,47686,2744.1943
2022,Angola,AFRO,104973,71.326004
2022,Antigua and Barbuda,AMRO,9106,760.26495
2022,Argentina,AMRO,9829236,945.99194
2022,Armenia,EURO,445881,523.99908
2022,Aruba,AMRO,43752,
2022,Australia,WPRO,10938096,5427.4624
2022,Austria,EURO,5668157,5242.1831
2022,Azerbaijan,EURO,825737,193.10884
2022,Bahamas,AMRO,37491,
2022,Bahrain,EMRO,696614,940.39569
2022,Bangladesh,SEARO,2037011,45.857162
2022,Barbados,AMRO,104416,1143.322
2022,Belarus,EURO,994037,399.39709
2022,Belgium,EURO,4668248,4960.3936
2022,Belize,AMRO,69675,293.4126
2022,Benin,AFRO,27982,29.125292
2022,Bhutan,SEARO,62524,115.98076
2022,Bolivia (Plurinational State of),AMRO,1140832,
2022,Bosnia and Herzegovina,EURO,400868,553.82294
2022,Botswana,AFRO,327471,481.53305
2022,Brazil,AMRO,36044441,853.38794
2022,Brunei Darussalam,WPRO,266819,671.56268
2022,Bulgaria,EURO,1290967,697.89636
2022,Burkina Faso,AFRO,22006,42.344528
2022,Burundi,AFRO,51722,20.567541
2022,Cabo Verde,AFRO,63173,177.89027
2022,Cambodia,WPRO,138467,113.31044
2022,Cameroon,AFRO,123993,53.99585
2022,Canada,AMRO,4457366,5048.3726
2022,Central African Republic,AFRO,15310,37.199581
2022,Chad,AFRO,7649,29.85083
2022,Chile,AMRO,4997056,1375.803
2022,China,WPRO,10167676,535.13336
2022,Colombia,AMRO,6330409,495.32971
2022,Comoros,AFRO,8979,72.323799
2022,Congo,AFRO,24775,
2022,Costa Rica,AMRO,1161687,921.58575
2022,Croatia,EURO,1260837,1040.0857
2022,Cyprus,EURO,628509,1996.4583
2022,Czechia,EURO,4576689,1844.2178
2022,DR Congo,AFRO,94969,
2022,Denmark,EURO,3379211,6003.3252
2022,Djibouti,EMRO,15690,61.809433
2022,Dominica,AMRO,15760,440.16986
2022,Dominican Republic,AMRO,655540,491.05936
2022,Ecuador,AMRO,1031449,486.49216
2022,Egypt,EMRO,515493,
2022,El Salvador,AMRO,201785,300.05328
2022,Equatorial Guinea,AFRO,17089,254.8911
2022,Eritrea,AFRO,10189,25.267935
2022,Estonia,EURO,611291,1598.8188
2022,Eswatini,AFRO,73992,264.05515
2022,Ethiopia,AFRO,495348,26.742205
2022,Fiji,WPRO,68702,235.67502
2022,Finland,EURO,1438205,4450.3027
2022,France,EURO,37988187,4491.7354
2022,Gabon,AFRO,48973,215.01915
2022,Gambia,AFRO,12586,
2022,Georgia,EURO,1808820,291.12204
2022,Germany,EURO,37177845,5440.2515
2022,Ghana,AFRO,171038,75.281662
2022,Greece,EURO,5548487,1500.595
2022,Grenada,AMRO,19644,534.27441
2022,Guatemala,AMRO,1190610,271.02127
2022,Guinea,AFRO,38191,43.037823
2022,Guinea-Bissau,AFRO,8848,62.575577
2022,Guyana,AMRO,71963,325.88516
2022,Haiti,AMRO,33893,56.9944
2022,Honduras,AMRO,463685,187.55434
2022,Hungary,EURO,2181419,1062.3942
2022,Iceland,EURO,207974,6274.9595
2022,India,SEARO,44676678,63.748322
2022,Indonesia,SEARO,6713879,120.12496
2022,Iran (Islamic Republic of),EMRO,7560629,
2022,Iraq,EMRO,2464997,253.31464
2022,Ireland,EURO,1687668,5428.5889
2022,Israel,EURO,4754934,3456.387
2022,Italy,EURO,24884034,2905.5
2022,Jamaica,AMRO,152758,327.40353
2022,Japan,WPRO,27765782,4360.4736
2022,Jordan,EMRO,1746997,334.04422
2022,Kazakhstan,EURO,1491711,272.96524
2022,Kenya,AFRO,342336,83.411629
2022,Kiribati,WPRO,3430,172.30574
2022,Kosovo,EURO,272200,
2022,Kuwait,EMRO,662747,1758.6742
2022,Kyrgyzstan,EURO,206557,
2022,Lao People's Democratic Republic,WPRO,217586,
2022,Latvia,EURO,972561,1166.7979
2022,Lebanon,EMRO,1221791,663.05109
2022,Lesotho,AFRO,34490,124.19363
2022,Liberia,AFRO,8043,52.56287
2022,Libya,EMRO,507121,
2022,Lithuania,EURO,1285267,1369.9795
2022,Luxembourg,EURO,311746,6220.7412
2022,Madagascar,AFRO,67684,19.849976
2022,Malawi,AFRO,88123,30.400288
2022,Malaysia,WPRO,5021242,436.61203
2022,Maldives,SEARO,185666,854.37061
2022,Mali,AFRO,32767,34.281776
2022,Malta,EURO,116212,2531.9109
2022,Marshall Islands,WPRO,15547,664.31848
2022,Mauritania,AFRO,63423,57.884846
2022,Mauritius,AFRO,289980,685.94562
2022,Mexico,AMRO,7196485,540.37231
2022,Micronesia (Federated States of),WPRO,22069,
2022,Mongolia,WPRO,1007266,163.44186
2022,Montenegro,EURO,284464,735.15887
2022,Morocco,EMRO,1271017,174.22377
2022,Mozambique,AFRO,230918,39.460941
2022,Myanmar,SEARO,633590,60.015873
2022,Namibia,AFRO,170164,427.25623
2022,Nauru,WPRO,4621,1049.447
2022,Nepal,SEARO,1000962,53.246403
2022,Netherlands,EURO,8559116,5335.3013
2022,New Zealand,WPRO,2027981,4211.0464
2022,Nicaragua,AMRO,15365,160.75879
2022,Niger,AFRO,9473,31.397636
2022,Nigeria,AFRO,266381,71.465729
2022,North Macedonia,EURO,345402,436.88718
2022,Norway,EURO,1473504,8007.3979
2022,Oman,EMRO,399154,624.74445
2022,Pakistan,EMRO,1575486,39.499287
2022,Palau,WPRO,5955,2355.6958
2022,Panama,AMRO,1020961,1192.8208
2022,Papua New Guinea,WPRO,46663,65.080719
2022,Paraguay,AMRO,720204,388.39325
2022,Peru,AMRO,4430160,370.10995
2022,Philippines,WPRO,4059369,142.07877
2022,Poland,EURO,6364708,1014.0382
2022,Portugal,EURO,5554058,2221.4392
2022,Puerto Rico,AMRO,1042874,
2022,Qatar,EMRO,487321,1807.1539
2022,Republic of Korea,WPRO,28534558,
2022,Republic of Moldova,EURO,596100,
2022,Romania,EURO,3305048,738.55817
2022,Russian Federation,EURO,21750711,653.41724
2022,Rwanda,AFRO,132920,51.399124
2022,Saint Kitts and Nevis,AMRO,6560,
2022,Saint Lucia,AMRO,29741,
2022,Saint Vincent and the Grenadines,AMRO,9521,
2022,Samoa,WPRO,15982,271.91577
2022,San Marino,EURO,22813,3050.9182
2022,Saudi Arabia,EMRO,826667,1316.2603
2022,Senegal,AFRO,88896,59.097584
2022,Serbia,EURO,2438130,641.02502
2022,Seychelles,AFRO,50355,839.77332
2022,Sierra Leone,AFRO,7760,46.157955
2022,Singapore,WPRO,2193890,2632.7139
2022,Slovakia,EURO,1858531,
2022,Slovenia,EURO,1297794,2219.1006
2022,Solomon Islands,WPRO,24575,111.90449
2022,Somalia,EMRO,27300,
2022,South Africa,AFRO,4046603,546.68842
2022,South Sudan,AFRO,18368,22.638187
2022,Spain,EURO,13651239,2711.1929
2022,Sri Lanka,SEARO,671838,160.69696
2022,Sudan,EMRO,63686,46.928841
2022,Suriname,AMRO,81581,619.24713
2022,Sweden,EURO,2665176,5671.3857
2022,Switzerland,EURO,4365587,9666.3379
2022,Tajikistan,EURO,17786,61.872253
2022,Thailand,SEARO,4718908,296.1651
2022,Timor-Leste,SEARO,23386,92.670044
2022,Togo,AFRO,39339,51.155029
2022,Tonga,WPRO,16211,242.37277
2022,Trinidad and Tobago,AMRO,185882,1167.9331
2022,Tunisia,EMRO,1147477,233.05931
2022,TÃ¼rkiye,EURO,17004677,
2022,Uganda,AFRO,169715,32.408443
2022,Ukraine,EURO,5354738,248.13348
2022,United Arab Emirates,EMRO,1046359,1842.6945
2022,United Kingdom,EURO,24135084,4312.8892
2022,United States of America,AMRO,99027628,
2022,Uruguay,AMRO,1002988,1660.9529
2022,Uzbekistan,EURO,249217,98.573166
2022,Vanuatu,WPRO,12013,104.24961
2022,Venezuela (Bolivarian Republic of),AMRO,549548,
2022,Viet Nam,WPRO,11523567,
2022,Yemen,EMRO,11945,
2022,Zambia,AFRO,333746,69.324379
2022,Zimbabwe,AFRO,259981,103.02827
