State,Recreational,Year legalized (Rec),Medical,Year legalized (Med)
,,,,
Alabama,No,,Yes,2021
Alaska,Yes,2014,Yes,1998
Arizona,Yes,2020,Yes,2010
Arkansas,No,,Yes,2016
California,Yes,2016,Yes,1996
Colorado,Yes,2012,Yes,2000
Connecticut,Yes,2021,Yes,2012
Delaware,No,,Yes,2011
District of Columbia,Yes,2015,Yes,2011
Florida,No,,Yes,2016
Georgia,No,,Yes,2015
Hawaii,No,,Yes,2000
Idaho,No,,No,
Illinois,Yes,2019,Yes,2013
Indiana,No,,No,
Iowa,No,,Yes,2017
Kansas,No,,No,
Kentucky,No,,No,
Louisiana,No,,Yes,2015
Maine,Yes,2016,Yes,1999
Maryland,No,,Yes,2013
Massachusetts,Yes,2016,Yes,2012
Michigan,Yes,2018,Yes,2008
Minnesota,No,,Yes,2014
Mississippi,No,,Yes,2022
Missouri,No,,Yes,2018
Montana,Yes,2020,Yes,2004
Nebraska,No,,No,
Nevada,Yes,2016,Yes,1998
New Hampshire,No,,Yes,2013
New Jersey,Yes,2020,Yes,2010
New Mexico,Yes,2021,Yes,2007
New York,Yes,2021,Yes,2014
North Carolina,No,,No,
North Dakota,No,,Yes,2016
Ohio,No,,Yes,2016
Oklahoma,No,,Yes,2018
Oregon,Yes,2014,Yes,1998
Pennsylvania,No,,Yes,2016
Rhode Island,Yes,2022,Yes,2006
South Carolina,No,,No,
South Dakota,No,,Yes,2020
Tennessee,No,,No,
Texas,No,,No,
Utah,No,,Yes,2018
Vermont,Yes,2020,Yes,2004
Virginia,Yes,2021,Yes,2020
Washington,Yes,2012,Yes,1998
West Virginia,No,,Yes,2017
Wisconsin,No,,No,
Wyoming,No,,No,